instant,date,season,year,month,holiday,weekday,workingday,weathersit,casual,registered,total_count
1,2011-01-01,Musim Semi,2011,January,0,Saturday,0,Mist or Cloudy,331,654,985
2,2011-01-02,Musim Semi,2011,January,0,Sunday,0,Mist or Cloudy,131,670,801
3,2011-01-03,Musim Semi,2011,January,0,Monday,1,Clear or Partly Cloudy,120,1229,1349
4,2011-01-04,Musim Semi,2011,January,0,Tuesday,1,Clear or Partly Cloudy,108,1454,1562
5,2011-01-05,Musim Semi,2011,January,0,Wednesday,1,Clear or Partly Cloudy,82,1518,1600
6,2011-01-06,Musim Semi,2011,January,0,Thursday,1,Clear or Partly Cloudy,88,1518,1606
7,2011-01-07,Musim Semi,2011,January,0,Friday,1,Mist or Cloudy,148,1362,1510
8,2011-01-08,Musim Semi,2011,January,0,Saturday,0,Mist or Cloudy,68,891,959
9,2011-01-09,Musim Semi,2011,January,0,Sunday,0,Clear or Partly Cloudy,54,768,822
10,2011-01-10,Musim Semi,2011,January,0,Monday,1,Clear or Partly Cloudy,41,1280,1321
11,2011-01-11,Musim Semi,2011,January,0,Tuesday,1,Mist or Cloudy,43,1220,1263
12,2011-01-12,Musim Semi,2011,January,0,Wednesday,1,Clear or Partly Cloudy,25,1137,1162
13,2011-01-13,Musim Semi,2011,January,0,Thursday,1,Clear or Partly Cloudy,38,1368,1406
14,2011-01-14,Musim Semi,2011,January,0,Friday,1,Clear or Partly Cloudy,54,1367,1421
15,2011-01-15,Musim Semi,2011,January,0,Saturday,0,Mist or Cloudy,222,1026,1248
16,2011-01-16,Musim Semi,2011,January,0,Sunday,0,Clear or Partly Cloudy,251,953,1204
17,2011-01-17,Musim Semi,2011,January,1,Monday,0,Mist or Cloudy,117,883,1000
18,2011-01-18,Musim Semi,2011,January,0,Tuesday,1,Mist or Cloudy,9,674,683
19,2011-01-19,Musim Semi,2011,January,0,Wednesday,1,Mist or Cloudy,78,1572,1650
20,2011-01-20,Musim Semi,2011,January,0,Thursday,1,Mist or Cloudy,83,1844,1927
21,2011-01-21,Musim Semi,2011,January,0,Friday,1,Clear or Partly Cloudy,75,1468,1543
22,2011-01-22,Musim Semi,2011,January,0,Saturday,0,Clear or Partly Cloudy,93,888,981
23,2011-01-23,Musim Semi,2011,January,0,Sunday,0,Clear or Partly Cloudy,150,836,986
24,2011-01-24,Musim Semi,2011,January,0,Monday,1,Clear or Partly Cloudy,86,1330,1416
25,2011-01-25,Musim Semi,2011,January,0,Tuesday,1,Mist or Cloudy,186,1799,1985
26,2011-01-26,Musim Semi,2011,January,0,Wednesday,1,Light Snow or Rain with Thunderstorms,34,472,506
27,2011-01-27,Musim Semi,2011,January,0,Thursday,1,Clear or Partly Cloudy,15,416,431
28,2011-01-28,Musim Semi,2011,January,0,Friday,1,Mist or Cloudy,38,1129,1167
29,2011-01-29,Musim Semi,2011,January,0,Saturday,0,Clear or Partly Cloudy,123,975,1098
30,2011-01-30,Musim Semi,2011,January,0,Sunday,0,Clear or Partly Cloudy,140,956,1096
31,2011-01-31,Musim Semi,2011,January,0,Monday,1,Mist or Cloudy,42,1459,1501
32,2011-02-01,Musim Semi,2011,February,0,Tuesday,1,Mist or Cloudy,47,1313,1360
33,2011-02-02,Musim Semi,2011,February,0,Wednesday,1,Mist or Cloudy,72,1454,1526
34,2011-02-03,Musim Semi,2011,February,0,Thursday,1,Clear or Partly Cloudy,61,1489,1550
35,2011-02-04,Musim Semi,2011,February,0,Friday,1,Mist or Cloudy,88,1620,1708
36,2011-02-05,Musim Semi,2011,February,0,Saturday,0,Mist or Cloudy,100,905,1005
37,2011-02-06,Musim Semi,2011,February,0,Sunday,0,Clear or Partly Cloudy,354,1269,1623
38,2011-02-07,Musim Semi,2011,February,0,Monday,1,Clear or Partly Cloudy,120,1592,1712
39,2011-02-08,Musim Semi,2011,February,0,Tuesday,1,Clear or Partly Cloudy,64,1466,1530
40,2011-02-09,Musim Semi,2011,February,0,Wednesday,1,Mist or Cloudy,53,1552,1605
41,2011-02-10,Musim Semi,2011,February,0,Thursday,1,Clear or Partly Cloudy,47,1491,1538
42,2011-02-11,Musim Semi,2011,February,0,Friday,1,Clear or Partly Cloudy,149,1597,1746
43,2011-02-12,Musim Semi,2011,February,0,Saturday,0,Clear or Partly Cloudy,288,1184,1472
44,2011-02-13,Musim Semi,2011,February,0,Sunday,0,Clear or Partly Cloudy,397,1192,1589
45,2011-02-14,Musim Semi,2011,February,0,Monday,1,Clear or Partly Cloudy,208,1705,1913
46,2011-02-15,Musim Semi,2011,February,0,Tuesday,1,Clear or Partly Cloudy,140,1675,1815
47,2011-02-16,Musim Semi,2011,February,0,Wednesday,1,Clear or Partly Cloudy,218,1897,2115
48,2011-02-17,Musim Semi,2011,February,0,Thursday,1,Clear or Partly Cloudy,259,2216,2475
49,2011-02-18,Musim Semi,2011,February,0,Friday,1,Clear or Partly Cloudy,579,2348,2927
50,2011-02-19,Musim Semi,2011,February,0,Saturday,0,Clear or Partly Cloudy,532,1103,1635
51,2011-02-20,Musim Semi,2011,February,0,Sunday,0,Clear or Partly Cloudy,639,1173,1812
52,2011-02-21,Musim Semi,2011,February,1,Monday,0,Mist or Cloudy,195,912,1107
53,2011-02-22,Musim Semi,2011,February,0,Tuesday,1,Clear or Partly Cloudy,74,1376,1450
54,2011-02-23,Musim Semi,2011,February,0,Wednesday,1,Clear or Partly Cloudy,139,1778,1917
55,2011-02-24,Musim Semi,2011,February,0,Thursday,1,Mist or Cloudy,100,1707,1807
56,2011-02-25,Musim Semi,2011,February,0,Friday,1,Mist or Cloudy,120,1341,1461
57,2011-02-26,Musim Semi,2011,February,0,Saturday,0,Clear or Partly Cloudy,424,1545,1969
58,2011-02-27,Musim Semi,2011,February,0,Sunday,0,Clear or Partly Cloudy,694,1708,2402
59,2011-02-28,Musim Semi,2011,February,0,Monday,1,Mist or Cloudy,81,1365,1446
60,2011-03-01,Musim Semi,2011,March,0,Tuesday,1,Clear or Partly Cloudy,137,1714,1851
61,2011-03-02,Musim Semi,2011,March,0,Wednesday,1,Clear or Partly Cloudy,231,1903,2134
62,2011-03-03,Musim Semi,2011,March,0,Thursday,1,Clear or Partly Cloudy,123,1562,1685
63,2011-03-04,Musim Semi,2011,March,0,Friday,1,Mist or Cloudy,214,1730,1944
64,2011-03-05,Musim Semi,2011,March,0,Saturday,0,Mist or Cloudy,640,1437,2077
65,2011-03-06,Musim Semi,2011,March,0,Sunday,0,Mist or Cloudy,114,491,605
66,2011-03-07,Musim Semi,2011,March,0,Monday,1,Clear or Partly Cloudy,244,1628,1872
67,2011-03-08,Musim Semi,2011,March,0,Tuesday,1,Clear or Partly Cloudy,316,1817,2133
68,2011-03-09,Musim Semi,2011,March,0,Wednesday,1,Mist or Cloudy,191,1700,1891
69,2011-03-10,Musim Semi,2011,March,0,Thursday,1,Light Snow or Rain with Thunderstorms,46,577,623
70,2011-03-11,Musim Semi,2011,March,0,Friday,1,Mist or Cloudy,247,1730,1977
71,2011-03-12,Musim Semi,2011,March,0,Saturday,0,Clear or Partly Cloudy,724,1408,2132
72,2011-03-13,Musim Semi,2011,March,0,Sunday,0,Clear or Partly Cloudy,982,1435,2417
73,2011-03-14,Musim Semi,2011,March,0,Monday,1,Clear or Partly Cloudy,359,1687,2046
74,2011-03-15,Musim Semi,2011,March,0,Tuesday,1,Mist or Cloudy,289,1767,2056
75,2011-03-16,Musim Semi,2011,March,0,Wednesday,1,Mist or Cloudy,321,1871,2192
76,2011-03-17,Musim Semi,2011,March,0,Thursday,1,Clear or Partly Cloudy,424,2320,2744
77,2011-03-18,Musim Semi,2011,March,0,Friday,1,Clear or Partly Cloudy,884,2355,3239
78,2011-03-19,Musim Semi,2011,March,0,Saturday,0,Clear or Partly Cloudy,1424,1693,3117
79,2011-03-20,Musim Semi,2011,March,0,Sunday,0,Clear or Partly Cloudy,1047,1424,2471
80,2011-03-21,Musim Panas,2011,March,0,Monday,1,Mist or Cloudy,401,1676,2077
81,2011-03-22,Musim Panas,2011,March,0,Tuesday,1,Clear or Partly Cloudy,460,2243,2703
82,2011-03-23,Musim Panas,2011,March,0,Wednesday,1,Mist or Cloudy,203,1918,2121
83,2011-03-24,Musim Panas,2011,March,0,Thursday,1,Mist or Cloudy,166,1699,1865
84,2011-03-25,Musim Panas,2011,March,0,Friday,1,Clear or Partly Cloudy,300,1910,2210
85,2011-03-26,Musim Panas,2011,March,0,Saturday,0,Clear or Partly Cloudy,981,1515,2496
86,2011-03-27,Musim Panas,2011,March,0,Sunday,0,Mist or Cloudy,472,1221,1693
87,2011-03-28,Musim Panas,2011,March,0,Monday,1,Clear or Partly Cloudy,222,1806,2028
88,2011-03-29,Musim Panas,2011,March,0,Tuesday,1,Clear or Partly Cloudy,317,2108,2425
89,2011-03-30,Musim Panas,2011,March,0,Wednesday,1,Mist or Cloudy,168,1368,1536
90,2011-03-31,Musim Panas,2011,March,0,Thursday,1,Light Snow or Rain with Thunderstorms,179,1506,1685
91,2011-04-01,Musim Panas,2011,April,0,Friday,1,Mist or Cloudy,307,1920,2227
92,2011-04-02,Musim Panas,2011,April,0,Saturday,0,Mist or Cloudy,898,1354,2252
93,2011-04-03,Musim Panas,2011,April,0,Sunday,0,Clear or Partly Cloudy,1651,1598,3249
94,2011-04-04,Musim Panas,2011,April,0,Monday,1,Clear or Partly Cloudy,734,2381,3115
95,2011-04-05,Musim Panas,2011,April,0,Tuesday,1,Mist or Cloudy,167,1628,1795
96,2011-04-06,Musim Panas,2011,April,0,Wednesday,1,Clear or Partly Cloudy,413,2395,2808
97,2011-04-07,Musim Panas,2011,April,0,Thursday,1,Clear or Partly Cloudy,571,2570,3141
98,2011-04-08,Musim Panas,2011,April,0,Friday,1,Mist or Cloudy,172,1299,1471
99,2011-04-09,Musim Panas,2011,April,0,Saturday,0,Mist or Cloudy,879,1576,2455
100,2011-04-10,Musim Panas,2011,April,0,Sunday,0,Mist or Cloudy,1188,1707,2895
101,2011-04-11,Musim Panas,2011,April,0,Monday,1,Mist or Cloudy,855,2493,3348
102,2011-04-12,Musim Panas,2011,April,0,Tuesday,1,Mist or Cloudy,257,1777,2034
103,2011-04-13,Musim Panas,2011,April,0,Wednesday,1,Mist or Cloudy,209,1953,2162
104,2011-04-14,Musim Panas,2011,April,0,Thursday,1,Clear or Partly Cloudy,529,2738,3267
105,2011-04-15,Musim Panas,2011,April,1,Friday,0,Clear or Partly Cloudy,642,2484,3126
106,2011-04-16,Musim Panas,2011,April,0,Saturday,0,Light Snow or Rain with Thunderstorms,121,674,795
107,2011-04-17,Musim Panas,2011,April,0,Sunday,0,Clear or Partly Cloudy,1558,2186,3744
108,2011-04-18,Musim Panas,2011,April,0,Monday,1,Clear or Partly Cloudy,669,2760,3429
109,2011-04-19,Musim Panas,2011,April,0,Tuesday,1,Mist or Cloudy,409,2795,3204
110,2011-04-20,Musim Panas,2011,April,0,Wednesday,1,Clear or Partly Cloudy,613,3331,3944
111,2011-04-21,Musim Panas,2011,April,0,Thursday,1,Clear or Partly Cloudy,745,3444,4189
112,2011-04-22,Musim Panas,2011,April,0,Friday,1,Mist or Cloudy,177,1506,1683
113,2011-04-23,Musim Panas,2011,April,0,Saturday,0,Mist or Cloudy,1462,2574,4036
114,2011-04-24,Musim Panas,2011,April,0,Sunday,0,Mist or Cloudy,1710,2481,4191
115,2011-04-25,Musim Panas,2011,April,0,Monday,1,Clear or Partly Cloudy,773,3300,4073
116,2011-04-26,Musim Panas,2011,April,0,Tuesday,1,Clear or Partly Cloudy,678,3722,4400
117,2011-04-27,Musim Panas,2011,April,0,Wednesday,1,Mist or Cloudy,547,3325,3872
118,2011-04-28,Musim Panas,2011,April,0,Thursday,1,Mist or Cloudy,569,3489,4058
119,2011-04-29,Musim Panas,2011,April,0,Friday,1,Clear or Partly Cloudy,878,3717,4595
120,2011-04-30,Musim Panas,2011,April,0,Saturday,0,Clear or Partly Cloudy,1965,3347,5312
121,2011-05-01,Musim Panas,2011,May,0,Sunday,0,Mist or Cloudy,1138,2213,3351
122,2011-05-02,Musim Panas,2011,May,0,Monday,1,Mist or Cloudy,847,3554,4401
123,2011-05-03,Musim Panas,2011,May,0,Tuesday,1,Mist or Cloudy,603,3848,4451
124,2011-05-04,Musim Panas,2011,May,0,Wednesday,1,Mist or Cloudy,255,2378,2633
125,2011-05-05,Musim Panas,2011,May,0,Thursday,1,Clear or Partly Cloudy,614,3819,4433
126,2011-05-06,Musim Panas,2011,May,0,Friday,1,Clear or Partly Cloudy,894,3714,4608
127,2011-05-07,Musim Panas,2011,May,0,Saturday,0,Clear or Partly Cloudy,1612,3102,4714
128,2011-05-08,Musim Panas,2011,May,0,Sunday,0,Clear or Partly Cloudy,1401,2932,4333
129,2011-05-09,Musim Panas,2011,May,0,Monday,1,Clear or Partly Cloudy,664,3698,4362
130,2011-05-10,Musim Panas,2011,May,0,Tuesday,1,Clear or Partly Cloudy,694,4109,4803
131,2011-05-11,Musim Panas,2011,May,0,Wednesday,1,Clear or Partly Cloudy,550,3632,4182
132,2011-05-12,Musim Panas,2011,May,0,Thursday,1,Clear or Partly Cloudy,695,4169,4864
133,2011-05-13,Musim Panas,2011,May,0,Friday,1,Mist or Cloudy,692,3413,4105
134,2011-05-14,Musim Panas,2011,May,0,Saturday,0,Mist or Cloudy,902,2507,3409
135,2011-05-15,Musim Panas,2011,May,0,Sunday,0,Mist or Cloudy,1582,2971,4553
136,2011-05-16,Musim Panas,2011,May,0,Monday,1,Clear or Partly Cloudy,773,3185,3958
137,2011-05-17,Musim Panas,2011,May,0,Tuesday,1,Mist or Cloudy,678,3445,4123
138,2011-05-18,Musim Panas,2011,May,0,Wednesday,1,Mist or Cloudy,536,3319,3855
139,2011-05-19,Musim Panas,2011,May,0,Thursday,1,Mist or Cloudy,735,3840,4575
140,2011-05-20,Musim Panas,2011,May,0,Friday,1,Clear or Partly Cloudy,909,4008,4917
141,2011-05-21,Musim Panas,2011,May,0,Saturday,0,Clear or Partly Cloudy,2258,3547,5805
142,2011-05-22,Musim Panas,2011,May,0,Sunday,0,Clear or Partly Cloudy,1576,3084,4660
143,2011-05-23,Musim Panas,2011,May,0,Monday,1,Mist or Cloudy,836,3438,4274
144,2011-05-24,Musim Panas,2011,May,0,Tuesday,1,Mist or Cloudy,659,3833,4492
145,2011-05-25,Musim Panas,2011,May,0,Wednesday,1,Clear or Partly Cloudy,740,4238,4978
146,2011-05-26,Musim Panas,2011,May,0,Thursday,1,Clear or Partly Cloudy,758,3919,4677
147,2011-05-27,Musim Panas,2011,May,0,Friday,1,Clear or Partly Cloudy,871,3808,4679
148,2011-05-28,Musim Panas,2011,May,0,Saturday,0,Clear or Partly Cloudy,2001,2757,4758
149,2011-05-29,Musim Panas,2011,May,0,Sunday,0,Clear or Partly Cloudy,2355,2433,4788
150,2011-05-30,Musim Panas,2011,May,1,Monday,0,Clear or Partly Cloudy,1549,2549,4098
151,2011-05-31,Musim Panas,2011,May,0,Tuesday,1,Clear or Partly Cloudy,673,3309,3982
152,2011-06-01,Musim Panas,2011,June,0,Wednesday,1,Mist or Cloudy,513,3461,3974
153,2011-06-02,Musim Panas,2011,June,0,Thursday,1,Clear or Partly Cloudy,736,4232,4968
154,2011-06-03,Musim Panas,2011,June,0,Friday,1,Clear or Partly Cloudy,898,4414,5312
155,2011-06-04,Musim Panas,2011,June,0,Saturday,0,Clear or Partly Cloudy,1869,3473,5342
156,2011-06-05,Musim Panas,2011,June,0,Sunday,0,Mist or Cloudy,1685,3221,4906
157,2011-06-06,Musim Panas,2011,June,0,Monday,1,Clear or Partly Cloudy,673,3875,4548
158,2011-06-07,Musim Panas,2011,June,0,Tuesday,1,Clear or Partly Cloudy,763,4070,4833
159,2011-06-08,Musim Panas,2011,June,0,Wednesday,1,Clear or Partly Cloudy,676,3725,4401
160,2011-06-09,Musim Panas,2011,June,0,Thursday,1,Mist or Cloudy,563,3352,3915
161,2011-06-10,Musim Panas,2011,June,0,Friday,1,Clear or Partly Cloudy,815,3771,4586
162,2011-06-11,Musim Panas,2011,June,0,Saturday,0,Clear or Partly Cloudy,1729,3237,4966
163,2011-06-12,Musim Panas,2011,June,0,Sunday,0,Clear or Partly Cloudy,1467,2993,4460
164,2011-06-13,Musim Panas,2011,June,0,Monday,1,Clear or Partly Cloudy,863,4157,5020
165,2011-06-14,Musim Panas,2011,June,0,Tuesday,1,Clear or Partly Cloudy,727,4164,4891
166,2011-06-15,Musim Panas,2011,June,0,Wednesday,1,Clear or Partly Cloudy,769,4411,5180
167,2011-06-16,Musim Panas,2011,June,0,Thursday,1,Mist or Cloudy,545,3222,3767
168,2011-06-17,Musim Panas,2011,June,0,Friday,1,Clear or Partly Cloudy,863,3981,4844
169,2011-06-18,Musim Panas,2011,June,0,Saturday,0,Clear or Partly Cloudy,1807,3312,5119
170,2011-06-19,Musim Panas,2011,June,0,Sunday,0,Mist or Cloudy,1639,3105,4744
171,2011-06-20,Musim Panas,2011,June,0,Monday,1,Mist or Cloudy,699,3311,4010
172,2011-06-21,Musim Gugur,2011,June,0,Tuesday,1,Mist or Cloudy,774,4061,4835
173,2011-06-22,Musim Gugur,2011,June,0,Wednesday,1,Clear or Partly Cloudy,661,3846,4507
174,2011-06-23,Musim Gugur,2011,June,0,Thursday,1,Mist or Cloudy,746,4044,4790
175,2011-06-24,Musim Gugur,2011,June,0,Friday,1,Clear or Partly Cloudy,969,4022,4991
176,2011-06-25,Musim Gugur,2011,June,0,Saturday,0,Clear or Partly Cloudy,1782,3420,5202
177,2011-06-26,Musim Gugur,2011,June,0,Sunday,0,Clear or Partly Cloudy,1920,3385,5305
178,2011-06-27,Musim Gugur,2011,June,0,Monday,1,Mist or Cloudy,854,3854,4708
179,2011-06-28,Musim Gugur,2011,June,0,Tuesday,1,Clear or Partly Cloudy,732,3916,4648
180,2011-06-29,Musim Gugur,2011,June,0,Wednesday,1,Clear or Partly Cloudy,848,4377,5225
181,2011-06-30,Musim Gugur,2011,June,0,Thursday,1,Clear or Partly Cloudy,1027,4488,5515
182,2011-07-01,Musim Gugur,2011,July,0,Friday,1,Clear or Partly Cloudy,1246,4116,5362
183,2011-07-02,Musim Gugur,2011,July,0,Saturday,0,Clear or Partly Cloudy,2204,2915,5119
184,2011-07-03,Musim Gugur,2011,July,0,Sunday,0,Mist or Cloudy,2282,2367,4649
185,2011-07-04,Musim Gugur,2011,July,1,Monday,0,Mist or Cloudy,3065,2978,6043
186,2011-07-05,Musim Gugur,2011,July,0,Tuesday,1,Clear or Partly Cloudy,1031,3634,4665
187,2011-07-06,Musim Gugur,2011,July,0,Wednesday,1,Clear or Partly Cloudy,784,3845,4629
188,2011-07-07,Musim Gugur,2011,July,0,Thursday,1,Clear or Partly Cloudy,754,3838,4592
189,2011-07-08,Musim Gugur,2011,July,0,Friday,1,Mist or Cloudy,692,3348,4040
190,2011-07-09,Musim Gugur,2011,July,0,Saturday,0,Clear or Partly Cloudy,1988,3348,5336
191,2011-07-10,Musim Gugur,2011,July,0,Sunday,0,Clear or Partly Cloudy,1743,3138,4881
192,2011-07-11,Musim Gugur,2011,July,0,Monday,1,Clear or Partly Cloudy,723,3363,4086
193,2011-07-12,Musim Gugur,2011,July,0,Tuesday,1,Clear or Partly Cloudy,662,3596,4258
194,2011-07-13,Musim Gugur,2011,July,0,Wednesday,1,Clear or Partly Cloudy,748,3594,4342
195,2011-07-14,Musim Gugur,2011,July,0,Thursday,1,Clear or Partly Cloudy,888,4196,5084
196,2011-07-15,Musim Gugur,2011,July,0,Friday,1,Clear or Partly Cloudy,1318,4220,5538
197,2011-07-16,Musim Gugur,2011,July,0,Saturday,0,Clear or Partly Cloudy,2418,3505,5923
198,2011-07-17,Musim Gugur,2011,July,0,Sunday,0,Clear or Partly Cloudy,2006,3296,5302
199,2011-07-18,Musim Gugur,2011,July,0,Monday,1,Clear or Partly Cloudy,841,3617,4458
200,2011-07-19,Musim Gugur,2011,July,0,Tuesday,1,Clear or Partly Cloudy,752,3789,4541
201,2011-07-20,Musim Gugur,2011,July,0,Wednesday,1,Clear or Partly Cloudy,644,3688,4332
202,2011-07-21,Musim Gugur,2011,July,0,Thursday,1,Mist or Cloudy,632,3152,3784
203,2011-07-22,Musim Gugur,2011,July,0,Friday,1,Clear or Partly Cloudy,562,2825,3387
204,2011-07-23,Musim Gugur,2011,July,0,Saturday,0,Clear or Partly Cloudy,987,2298,3285
205,2011-07-24,Musim Gugur,2011,July,0,Sunday,0,Clear or Partly Cloudy,1050,2556,3606
206,2011-07-25,Musim Gugur,2011,July,0,Monday,1,Clear or Partly Cloudy,568,3272,3840
207,2011-07-26,Musim Gugur,2011,July,0,Tuesday,1,Clear or Partly Cloudy,750,3840,4590
208,2011-07-27,Musim Gugur,2011,July,0,Wednesday,1,Clear or Partly Cloudy,755,3901,4656
209,2011-07-28,Musim Gugur,2011,July,0,Thursday,1,Clear or Partly Cloudy,606,3784,4390
210,2011-07-29,Musim Gugur,2011,July,0,Friday,1,Clear or Partly Cloudy,670,3176,3846
211,2011-07-30,Musim Gugur,2011,July,0,Saturday,0,Clear or Partly Cloudy,1559,2916,4475
212,2011-07-31,Musim Gugur,2011,July,0,Sunday,0,Clear or Partly Cloudy,1524,2778,4302
213,2011-08-01,Musim Gugur,2011,August,0,Monday,1,Clear or Partly Cloudy,729,3537,4266
214,2011-08-02,Musim Gugur,2011,August,0,Tuesday,1,Clear or Partly Cloudy,801,4044,4845
215,2011-08-03,Musim Gugur,2011,August,0,Wednesday,1,Mist or Cloudy,467,3107,3574
216,2011-08-04,Musim Gugur,2011,August,0,Thursday,1,Mist or Cloudy,799,3777,4576
217,2011-08-05,Musim Gugur,2011,August,0,Friday,1,Clear or Partly Cloudy,1023,3843,4866
218,2011-08-06,Musim Gugur,2011,August,0,Saturday,0,Mist or Cloudy,1521,2773,4294
219,2011-08-07,Musim Gugur,2011,August,0,Sunday,0,Clear or Partly Cloudy,1298,2487,3785
220,2011-08-08,Musim Gugur,2011,August,0,Monday,1,Clear or Partly Cloudy,846,3480,4326
221,2011-08-09,Musim Gugur,2011,August,0,Tuesday,1,Clear or Partly Cloudy,907,3695,4602
222,2011-08-10,Musim Gugur,2011,August,0,Wednesday,1,Clear or Partly Cloudy,884,3896,4780
223,2011-08-11,Musim Gugur,2011,August,0,Thursday,1,Clear or Partly Cloudy,812,3980,4792
224,2011-08-12,Musim Gugur,2011,August,0,Friday,1,Clear or Partly Cloudy,1051,3854,4905
225,2011-08-13,Musim Gugur,2011,August,0,Saturday,0,Mist or Cloudy,1504,2646,4150
226,2011-08-14,Musim Gugur,2011,August,0,Sunday,0,Mist or Cloudy,1338,2482,3820
227,2011-08-15,Musim Gugur,2011,August,0,Monday,1,Clear or Partly Cloudy,775,3563,4338
228,2011-08-16,Musim Gugur,2011,August,0,Tuesday,1,Clear or Partly Cloudy,721,4004,4725
229,2011-08-17,Musim Gugur,2011,August,0,Wednesday,1,Clear or Partly Cloudy,668,4026,4694
230,2011-08-18,Musim Gugur,2011,August,0,Thursday,1,Clear or Partly Cloudy,639,3166,3805
231,2011-08-19,Musim Gugur,2011,August,0,Friday,1,Mist or Cloudy,797,3356,4153
232,2011-08-20,Musim Gugur,2011,August,0,Saturday,0,Clear or Partly Cloudy,1914,3277,5191
233,2011-08-21,Musim Gugur,2011,August,0,Sunday,0,Clear or Partly Cloudy,1249,2624,3873
234,2011-08-22,Musim Gugur,2011,August,0,Monday,1,Clear or Partly Cloudy,833,3925,4758
235,2011-08-23,Musim Gugur,2011,August,0,Tuesday,1,Clear or Partly Cloudy,1281,4614,5895
236,2011-08-24,Musim Gugur,2011,August,0,Wednesday,1,Clear or Partly Cloudy,949,4181,5130
237,2011-08-25,Musim Gugur,2011,August,0,Thursday,1,Mist or Cloudy,435,3107,3542
238,2011-08-26,Musim Gugur,2011,August,0,Friday,1,Clear or Partly Cloudy,768,3893,4661
239,2011-08-27,Musim Gugur,2011,August,0,Saturday,0,Mist or Cloudy,226,889,1115
240,2011-08-28,Musim Gugur,2011,August,0,Sunday,0,Clear or Partly Cloudy,1415,2919,4334
241,2011-08-29,Musim Gugur,2011,August,0,Monday,1,Clear or Partly Cloudy,729,3905,4634
242,2011-08-30,Musim Gugur,2011,August,0,Tuesday,1,Clear or Partly Cloudy,775,4429,5204
243,2011-08-31,Musim Gugur,2011,August,0,Wednesday,1,Clear or Partly Cloudy,688,4370,5058
244,2011-09-01,Musim Gugur,2011,September,0,Thursday,1,Clear or Partly Cloudy,783,4332,5115
245,2011-09-02,Musim Gugur,2011,September,0,Friday,1,Mist or Cloudy,875,3852,4727
246,2011-09-03,Musim Gugur,2011,September,0,Saturday,0,Clear or Partly Cloudy,1935,2549,4484
247,2011-09-04,Musim Gugur,2011,September,0,Sunday,0,Clear or Partly Cloudy,2521,2419,4940
248,2011-09-05,Musim Gugur,2011,September,1,Monday,0,Mist or Cloudy,1236,2115,3351
